names,scores,logfoldchanges,pvals,pvals_adj
AQP4,21.835737,0.6695896,1.0621324641900425e-105,1.1596492862258724e-103
PTPRE,21.831533,0.50015867,1.1644631744588597e-105,1.2672740037651146e-103
ABCA2,21.82335,1.0801293,1.3926969891505309e-105,1.5107851550794682e-103
SPON1,21.758429,0.7047966,5.748490083859215e-105,6.19606421594755e-103
OXR1,21.72374,0.48667368,1.2240113586558977e-104,1.315110547992803e-102
PMP22,21.713844,0.7496069,1.5181319795671565e-104,1.6259434474494338e-102
PRNP,21.697487,0.7733751,2.1668758314236218e-104,2.3134142381246432e-102
PDE3A,21.687582,0.79038435,2.687480912235335e-104,2.8511806143422485e-102
GNG7,21.630714,0.6727426,9.234100884397579e-104,9.686892987789148e-102
LINC00639,21.630657,0.9355041,9.245574716388849e-104,9.686892987789148e-102
PREX1,21.605751,0.56104755,1.5859048952590648e-103,1.6513479460294773e-101
HSP90AA1,21.593874,0.47284743,2.0507936358289042e-103,2.1288499966756845e-101
ETV1,21.376503,0.4601655,2.2108866474638453e-101,2.239900385149782e-99
ABI1,21.373936,0.4531607,2.3358828041147302e-101,2.3594514419885825e-99
AK5,21.340857,1.2944292,4.741715882205177e-101,4.775261752774808e-99
NECTIN3,21.291845,0.61943877,1.3510119730794424e-100,1.3484938146680813e-98
RGS7,21.289312,0.5402567,1.4260331202261628e-100,1.4191763828044263e-98
FER,21.245007,0.37407246,3.666504428857105e-100,3.63814293871624e-98
PCSK5,21.177267,0.6141225,1.5475646208686564e-99,1.5310905458723128e-97
ITM2C,21.107985,0.86275274,6.717810273220287e-99,6.588336197314907e-97
RHOBTB3,21.06425,0.48047563,1.692814141484911e-98,1.6553759620659838e-96
ZNF518A,20.9943,0.42921922,7.394356733778506e-98,7.16848888297372e-96
HSD17B4,20.959858,0.56479794,1.525404544251815e-97,1.4703592316978138e-95
GLUL,20.95594,0.48362365,1.6562276192402534e-97,1.5919131393250267e-95
IQSEC1,20.951387,0.5716089,1.8224257064682837e-97,1.7466811380431955e-95
PRTFDC1,20.941317,0.6347619,2.2514745365532035e-97,2.14570611411569e-95
CSNK1A1,20.884783,0.37667763,7.363908955930053e-97,6.978544843994725e-95
FABP5,20.860672,1.1680719,1.2194653343372724e-96,1.1524118202951417e-94
ASIC2,20.800856,1.3246816,4.251556138245094e-96,3.9953969202221374e-94
OSBPL3,20.78872,0.5525128,5.475227323916188e-96,5.131048450748901e-94
LMO3,20.74868,1.2188218,1.260036338954869e-95,1.174305137218796e-93
ARHGAP12,20.63031,0.4585961,1.4670381702095955e-94,1.3485958242060252e-92
ARPP21,20.586002,0.4843591,3.663754636035682e-94,3.349704340269263e-92
HIVEP3,20.582748,0.61426103,3.9181595210460817e-94,3.572620209771126e-92
GLUD1,20.558567,0.65362734,6.451110043482304e-94,5.866336914742924e-92
IL6ST,20.521702,0.50328636,1.3780450590567346e-93,1.2497609182095982e-91
DDX17,20.499483,0.33660766,2.175890443423429e-93,1.9627811735234283e-91
PPARGC1A,20.401335,0.9805138,1.627113811005876e-92,1.4638383637841394e-90
ZNF438,20.343006,0.51542157,5.354632583074277e-92,4.791757014726177e-90
KIF3A,20.310997,0.5422875,1.0279806658401365e-91,9.150655336002292e-90
ATP13A4,20.301691,0.58178484,1.2423307769627337e-91,1.1029608795366249e-89
CAMK2N1,20.271355,0.8737621,2.3023482302049758e-91,2.0333592210058972e-89
SGMS1,20.222612,0.45845807,6.191543043267453e-91,5.439689782570679e-89
NDFIP1,20.142952,0.42860112,3.102812332917838e-90,2.704898699629176e-88
ILDR2,20.12795,0.68612224,4.200058980826668e-90,3.63326640605511e-88
DKK3,20.116037,0.89536405,5.340909841050514e-90,4.608344637021002e-88
DICER1,20.088396,0.38936865,9.32240210092678e-90,7.942168678761788e-88
TMSB10,20.042013,0.7137293,2.3698493271668333e-89,2.0138943765901124e-87
DGKB,20.028082,0.43108854,3.1349756976328772e-89,2.657403897262321e-87
ARHGAP22,19.925903,0.7276814,2.426296815918782e-88,2.0261380118478205e-86
CLDN11,19.913643,1.3094977,3.099398809581336e-88,2.581837472564087e-86
KCNIP1,19.904564,0.653077,3.7150653757537706e-88,3.079487974982923e-86
AQP4-AS1,19.871092,0.6563317,7.240942535160103e-88,5.9728038706282736e-86
ARHGAP5,19.870659,0.40875268,7.303895083575792e-88,6.010036791087719e-86
FRYL,19.857769,0.37843773,9.44116632497366e-88,7.749796309139571e-86
TPM1,19.841114,0.66577053,1.3151206827339977e-87,1.076898700810604e-85
ST3GAL5,19.81977,0.5309551,2.010221692182917e-87,1.638136454810992e-85
DDHD1,19.805382,0.43801054,2.675273114621974e-87,2.1748358811566634e-85
SULF2,19.75813,0.62787837,6.828979948013564e-87,5.524923177605122e-85
ABHD2,19.751118,0.48794553,7.846295918953e-87,6.332786732481277e-85
ZBTB38,19.722733,0.49685186,1.375923171543449e-86,1.102601426089343e-84
ENOX1,19.708706,0.50210404,1.8155280064327907e-86,1.4514328993607361e-84
PXYLP1,19.689793,0.69576967,2.63767177570911e-86,2.1037147209715896e-84
BMPER,19.67984,0.6919115,3.2101433195588527e-86,2.5542595559423824e-84
GALNT10,19.678968,0.51078266,3.265777406284191e-86,2.592412526019053e-84
NELL2,19.675398,0.5720147,3.504204550541327e-86,2.775149035718609e-84
SLC12A2,19.65515,0.6875754,5.223411810140561e-86,4.126984642592789e-84
DPF3,19.650106,0.52619034,5.769179112876229e-86,4.547541956334237e-84
SHISA9,19.625895,0.51701623,9.292711621075545e-86,7.307883728676589e-84
PCDH9-AS2,19.601484,0.6281754,1.5017644384129002e-85,1.178256438575256e-83
CDC42BPA,19.594505,0.32964545,1.7224855402054968e-85,1.3482945399051704e-83
AC087564.1,19.555822,0.59036165,3.6801757885031084e-85,2.874029874461328e-83
LYPLAL1,19.529638,0.37941745,6.147392789754862e-85,4.778677201565893e-83
MVB12B,19.488804,0.42634192,1.3663513920786255e-84,1.0572613971228575e-82
LFNG,19.48461,0.8950906,1.48304079679381e-84,1.1449278572410246e-82
ITGB8,19.465242,0.36606318,2.1646648330890367e-84,1.6597567607710187e-82
PON2,19.45445,0.40663487,2.672021258975802e-84,2.039501837422322e-82
EIF1,19.432987,0.63745546,4.0602871189620257e-84,3.092142359648349e-82
NPTN,19.422808,0.57051444,4.950865550347192e-84,3.7618772763978197e-82
LIPA,19.419035,0.7552753,5.3282002422732135e-84,4.039494192664526e-82
OGFRL1,19.412104,0.5321447,6.097770365381572e-84,4.6125667896161005e-82
CHI3L1,19.398926,1.1838757,7.880041175746845e-84,5.947403784030678e-82
FAM13C,19.398573,0.7246379,7.934315075841687e-84,5.974999725751584e-82
MAP7,19.370432,0.77323955,1.3710453252180746e-83,1.0278879141529373e-81
SHISA6,19.363003,0.81155676,1.5837884993107206e-83,1.184751055459995e-81
BTBD3,19.298672,0.4850743,5.510831601998536e-83,4.0951305232736696e-81
CPEB2,19.218323,0.48996904,2.6003863873900517e-82,1.9281150670632565e-80
LINC01776,19.200518,1.0202516,3.6641879799058845e-82,2.710936620133439e-80
GPR37,19.166492,1.821334,7.050499014833225e-82,5.193508411865252e-80
AC064875.1,19.164753,0.76592296,7.290151540700662e-82,5.3583407958304625e-80
ATP2B2,19.147802,0.7843018,1.009566597789414e-81,7.388231737445002e-80
YWHAB,19.117382,0.76238686,1.8096464893326802e-81,1.3186186524971195e-79
DNAJC6,19.107275,0.48842868,2.1964359752303047e-81,1.5970077693177757e-79
DBI,19.10701,0.7547303,2.2076191696086724e-81,1.6016870521524253e-79
ACSL3,19.099812,0.4251396,2.5340065843318585e-81,1.8345446381030882e-79
PLEKHH1,19.06961,0.93199193,4.516488112776209e-81,3.2558281936053625e-79
FERMT2,19.041445,0.5173649,7.7363069961989975e-81,5.565027486796708e-79
FUT8,19.024557,0.39520606,1.0678597035882408e-80,7.665187834033293e-79
THSD4,18.949104,2.0011575,4.491659177685307e-80,3.210489527067144e-78
TSC22D4,18.89327,0.6172551,1.2956355614700674e-79,9.221699775804992e-78
NECAB1,18.868114,1.4309577,2.0860873132955034e-79,1.4816490039715873e-77
CELF2,18.865086,0.31568483,2.2091417872929136e-79,1.5624699471258077e-77
GPR137C,18.853886,0.57611114,2.730282769371031e-79,1.9229968640975047e-77
TSPAN7,18.809105,0.4696641,6.360161560724162e-79,4.470266053628147e-77
MOSPD2,18.801594,0.59400576,7.328143487809287e-79,5.129244332950662e-77
GSN,18.77114,0.5369301,1.3006453387706967e-78,9.084859584701241e-77
SYNJ2,18.769377,1.1236945,1.344524323844927e-78,9.37194568461907e-77
SLC22A17,18.761013,0.8744764,1.573727162473046e-78,1.0946975934093434e-76
COLGALT2,18.72624,0.614388,3.025414542028664e-78,2.0915657869758413e-76
RPH3A,18.703848,1.1204177,4.605847177307798e-78,3.177657795927059e-76
OLFM1,18.639885,1.1432531,1.5256881753152101e-77,1.050451876951209e-75
MLLT10,18.593962,0.34924462,3.596145247815627e-77,2.4609158666441343e-75
AL359091.1,18.54432,1.623823,9.064116412808826e-77,6.165243859252648e-75
SORCS2,18.512728,0.87159336,1.6303212517825027e-76,1.1066830597864445e-74
DOCK10,18.32731,0.41118398,5.010827896639194e-75,3.3810060149783296e-73
TTLL7,18.30424,0.47353342,7.655468816790097e-75,5.15514074794506e-73
RAPGEF6,18.286879,0.33860067,1.0527276377840995e-74,7.060809605551126e-73
DIPK2A,18.279364,0.78252506,1.208286552032577e-74,8.088087977365685e-73
RALGAPA1,18.269382,0.32329187,1.450850313806013e-74,9.692541987499696e-73
RHOJ,18.251186,0.61010367,2.024661022439372e-74,1.3499207295264247e-72
TPCN1,18.243832,0.46887693,2.316389511590807e-74,1.5413813205629005e-72
AIG1,18.17651,0.36721182,7.921854340403827e-74,5.261015745712675e-72
GNAO1,18.17174,0.4713768,8.641400000078973e-74,5.727601410661382e-72
KLHL4,18.167477,0.6420807,9.339679290536807e-74,6.178289416173339e-72
DMXL1,18.163929,0.3473522,9.963315627393625e-74,6.577933059126786e-72
OSBPL1A,18.08741,0.4115472,4.004749010007789e-73,2.633688447380756e-71
CNTNAP4,18.070578,1.3523142,5.434137565643329e-73,3.5667606819476456e-71
PREPL,18.037039,0.44673353,9.97476066459722e-73,6.521676367083651e-71
RASGRP1,17.992666,0.91720456,2.223926898263356e-72,1.4512305951007898e-70
ASTN2,17.979214,0.34988517,2.8348064553085846e-72,1.8462908375047436e-70
ZNF25,17.889587,0.77114075,1.4215619091100238e-71,9.205227279778286e-70
MOBP,17.870277,1.8255752,2.009892998453516e-71,1.2989992354181276e-69
PPP2R5A,17.854218,0.56031394,2.680065632492323e-71,1.7288216872541778e-69
MEF2C,17.810125,0.4454789,5.897809047975743e-71,3.78278296295737e-69
EIF4A2,17.805868,0.38882136,6.363848879230154e-71,4.073950088018742e-69
CD99,17.80404,0.5935964,6.574933802507482e-71,4.201108744227177e-69
ITM2B,17.768246,0.46867228,1.2452285903822621e-70,7.911539915956002e-69
SPOCK3,17.764055,0.9214865,1.3418107719301279e-70,8.509148498610286e-69
EPHB1,17.745949,0.4312675,1.8524320291522476e-70,1.1725234402909828e-68
CDKN2A,17.699064,0.6942566,4.263313679478313e-70,2.6834218956074596e-68
LINC02821,17.676445,1.1619397,6.368720052040273e-70,4.001145407740832e-68
VAV3,17.672602,0.73602474,6.81789936538038e-70,4.275380499811113e-68
NR2F1-AS1,17.63536,0.42252845,1.318527573369125e-69,8.252906260251237e-68
RASSF4,17.612963,0.42883042,1.959188485638237e-69,1.2240211470366148e-67
NTRK3,17.584806,0.44512215,3.220774986078019e-69,2.0047838691017366e-67
ENDOD1,17.554623,0.98459935,5.483031806956039e-69,3.4003868395455125e-67
RBPMS,17.53172,1.1773499,8.205158195893543e-69,5.0792187533001915e-67
KIAA1217,17.522005,0.6279366,9.733379188945475e-69,6.003199519149058e-67
BCAP29,17.494562,0.4803092,1.5761975767044324e-68,9.703682052057927e-67
GRM3,17.388273,1.3482442,1.0123883214617078e-67,6.187490000208993e-66
TAPT1-AS1,17.386024,0.38784504,1.0528727726343641e-67,6.423285484695397e-66
SNX24,17.340614,0.47109887,2.322446554153863e-67,1.4143028772109905e-65
AC008771.1,17.33019,0.45618024,2.7840129527605758e-67,1.6923287385096135e-65
NUTM2B-AS1,17.320745,0.41409656,3.280793453863076e-67,1.9907217401614853e-65
PEX5L,17.284275,0.8763825,6.179387265858561e-67,3.7360929782844134e-65
ZHX3,17.27418,0.353548,7.361219987703626e-67,4.442674038017124e-65
ARHGAP26,17.245157,0.40803933,1.2168166212166065e-66,7.330668276782974e-65
SLC7A14-AS1,17.20382,0.81665987,2.485930329257793e-66,1.4949702587909117e-64
ZNF37A,17.202631,0.3862264,2.5374786735290285e-66,1.5232547688407265e-64
LINC02649,17.157162,0.73183614,5.55632976337225e-66,3.3295541248115384e-64
PLEKHA1,17.152,0.5541007,6.072647537546171e-66,3.632498403797787e-64
SPNS3,17.145878,3.910883,6.747209537326884e-66,4.0288603214300374e-64
LINC01184,17.144272,0.37493378,6.936341147642541e-66,4.1344759946646007e-64
