group,names,scores,logfoldchanges,pvals,pvals_adj
14,NDRG1,36.284172,5.0228114,2.874858978582597e-288,2.4247279340110267e-284
14,TNRC6B,35.249065,3.4461863,3.545793623682848e-272,2.392488789643765e-268
14,PGK1,34.178177,4.0414586,5.102100445603107e-256,2.8688260455552005e-252
14,GLUL,33.990868,3.653423,3.039534664626787e-253,1.46492544257877e-249
14,ARL4C,33.731873,4.285894,1.9717512747721974e-249,8.315121594623703e-246
14,CCT2,33.44939,3.8181372,2.626972797106161e-245,9.847353472885616e-242
14,BNIP3L,32.18943,3.3433335,2.481191825670469e-227,8.370796862264462e-224
15,RBFOX1,48.65542,5.4714556,0.0,0.0
15,DLGAP2,47.66507,6.8085213,0.0,0.0
15,MEG3,47.36455,4.4497986,0.0,0.0
15,RYR2,47.120995,6.585285,0.0,0.0
15,NRG3,46.90136,4.7468224,0.0,0.0
15,RALYL,46.12421,5.076119,0.0,0.0
15,CNTNAP2,45.880154,5.207517,0.0,0.0
15,LRRC7,45.765854,4.9921165,0.0,0.0
15,KCNIP4,45.463272,5.2428017,0.0,0.0
15,SYT1,45.233444,4.7156053,0.0,0.0
16,GPC5,37.899982,5.2802114,0.0,0.0
16,ABLIM1,37.099995,4.309459,2.8100507343576735e-301,4.740134081251242e-297
16,PRKG1,36.119537,5.023408,1.1195634921590304e-285,1.2590237844989736e-281
16,NRG3,35.334682,3.980245,1.7234501274158908e-273,1.4536009237157476e-269
16,ADGRV1,35.296375,4.227223,6.674375600908366e-273,4.503468192956911e-269
16,OBI1-AS1,34.768417,5.6877255,7.303457692718269e-265,4.106612536320604e-261
16,TPD52L1,34.50946,6.786578,5.785942181071002e-261,2.7885761623256058e-257
16,MGAT4C,33.33793,4.6307025,1.0898494680721917e-243,4.596031438043941e-240
16,CTNND2,33.272663,2.4326844,9.599529708185737e-243,3.598437041834024e-239
16,LINC00299,33.192688,4.5814247,1.3726066994215183e-241,4.6307632218383765e-238
17,DSCAM,31.661848,2.266133,5.209641761788107e-220,1.9528631568605038e-216
17,PLP1,31.60441,2.7742088,3.2112614784844344e-219,1.0833832849962937e-215
17,SOX6,30.158073,1.5466621,8.406212475671043e-200,1.2890926831441545e-196
17,FGF12,25.620283,1.7975144,9.067520895154373e-145,1.7381304115899038e-142
17,PCDH15,23.147291,2.2011495,1.5479869959061026e-118,1.2033280479466402e-116
17,NFIB,18.728622,0.70358753,2.8930609744456334e-78,7.566139387199406e-77
17,DLGAP1,18.46331,1.1113421,4.075735449240744e-76,1.0170346660579509e-74
17,SPARCL1,17.13608,1.2852049,7.98566847377843e-66,1.5810592564545945e-64
17,MALAT1,16.911327,0.27254114,3.7125139222391314e-64,7.092247009885707e-63
17,GPM6A,16.454866,0.6454609,7.739203461906251e-61,1.3620109921457026e-59
18,UACA,22.70503,5.268369,3.995637484738271e-114,1.3480082182261504e-109
18,EBF1,21.729725,7.2466903,1.0744334554825781e-104,1.8124080743807869e-100
18,RBMS3,21.683256,3.966618,2.952358317540234e-104,3.3030574152347345e-100
18,DLC1,21.67025,5.044087,3.9162431932118854e-104,3.3030574152347345e-100
18,COBLL1,20.690908,4.7209806,4.182632077668465e-95,2.82218916808602e-91
18,RBPMS,20.58933,4.995232,3.420662629022188e-94,1.9233815852553592e-90
